"Package","Class Name","TCC value"
"org.apache.commons.collections4.iterators","PermutationIterator","0.3333333333333333"
"org.apache.commons.collections4.iterators","PushbackIterator","0.5"
"org.apache.commons.collections4.iterators","ReverseListIterator","1.0"
"org.apache.commons.collections4.iterators","SingletonIterator","1.0"
"org.apache.commons.collections4.iterators","SingletonListIterator","0.7111111111111111"
"org.apache.commons.collections4.iterators","SkippingIterator","1.0"
"org.apache.commons.collections4.iterators","TransformIterator","0.4642857142857143"
"org.apache.commons.collections4.iterators","UniqueFilterIterator","0.0"
"org.apache.commons.collections4.iterators","UnmodifiableIterator","0.5"
"org.apache.commons.collections4.iterators","UnmodifiableListIterator","0.509090909090909"
"org.apache.commons.collections4.iterators","UnmodifiableMapIterator","0.47619047619047616"
"org.apache.commons.collections4.iterators","UnmodifiableOrderedMapIterator","0.5833333333333334"
"org.apache.commons.collections4.iterators","ZippingIterator","0.6666666666666666"
"org.apache.commons.collections4","IteratorUtils","0.0"
"org.apache.commons.collections4.keyvalue","AbstractKeyValue","0.2"
"org.apache.commons.collections4.keyvalue","AbstractMapEntry","0.0"
"org.apache.commons.collections4.keyvalue","AbstractMapEntryDecorator","1.0"
"org.apache.commons.collections4.keyvalue","DefaultKeyValue","0.0"
"org.apache.commons.collections4.keyvalue","DefaultMapEntry","0.0"
"org.apache.commons.collections4.keyvalue","MultiKey","0.24175824175824176"
"org.apache.commons.collections4.keyvalue","TiedMapEntry","0.4"
"org.apache.commons.collections4.keyvalue","UnmodifiableMapEntry","0.0"
"org.apache.commons.collections4","KeyValue","0.0"
"org.apache.commons.collections4.list","AbstractLinkedList","0.09250693802035152"
"org.apache.commons.collections4.list","AbstractListDecorator","0.0"
"org.apache.commons.collections4.list","AbstractSerializableListDecorator","0.0"
"org.apache.commons.collections4.list","Cursor","0.17857142857142858"
"org.apache.commons.collections4.list","FixedSizeList","0.0"
"org.apache.commons.collections4.list","GrowthList","0.0"
"org.apache.commons.collections4.list","LazyList","0.3"
"org.apache.commons.collections4.list","NodeCachingLinkedList","0.3090909090909091"
"org.apache.commons.collections4.list","PredicatedList","0.0"
"org.apache.commons.collections4.list","SetUniqueList","0.4789473684210526"
"org.apache.commons.collections4.list","TransformedList","0.0"
"org.apache.commons.collections4.list","TreeList","0.3516483516483517"
"org.apache.commons.collections4.list","UnmodifiableList","0.0"
"org.apache.commons.collections4","ListUtils","0.0"
"org.apache.commons.collections4","ListValuedMap","0.0"
"org.apache.commons.collections4.map","AbstractHashedMap","0.16328502415458937"
"org.apache.commons.collections4.map",,
"org.apache.commons.collections4.map","AbstractIterableMap","0.0"
"org.apache.commons.collections4.map","AbstractLinkedMap","0.23529411764705882"
"org.apache.commons.collections4.map","AbstractMapDecorator","0.0"
"org.apache.commons.collections4.map","AbstractOrderedMapDecorator","0.0"
"org.apache.commons.collections4.map","ReferenceStrength","0.0"
"org.apache.commons.collections4.map","AbstractSortedMapDecorator","0.0"
"org.apache.commons.collections4.map","CaseInsensitiveMap","0.0"
"org.apache.commons.collections4.map","MapMutator","0.0"
"org.apache.commons.collections4.map","DefaultedMap","0.0"
"org.apache.commons.collections4.map","EntrySetToMapIteratorAdapter","0.2857142857142857"
"org.apache.commons.collections4.map","FixedSizeMap","0.0"
"org.apache.commons.collections4.map","FixedSizeSortedMap","0.0"
"org.apache.commons.collections4.map","Flat3Map","0.7285714285714285"
"org.apache.commons.collections4.map","HashedMap","0.0"
"org.apache.commons.collections4.map","LazyMap","0.1"
"org.apache.commons.collections4.map","LazySortedMap","0.0"
"org.apache.commons.collections4.map","LinkedMap","0.0"
"org.apache.commons.collections4.map","ListOrderedMap","0.24"
"org.apache.commons.collections4.map","LRUMap","0.1523809523809524"
"org.apache.commons.collections4.map","MultiKeyMap","0.0"
"org.apache.commons.collections4.map","MultiValueMap","0.005263157894736842"
"org.apache.commons.collections4.map","ExpirationPolicy","0.0"
"org.apache.commons.collections4.map","PredicatedMap","0.21428571428571427"
"org.apache.commons.collections4.map","PredicatedSortedMap","0.0"
"org.apache.commons.collections4.map","ReferenceIdentityMap","0.0"
"org.apache.commons.collections4.map","ReferenceMap","0.0"
"org.apache.commons.collections4.map","SingletonMap","0.07671957671957672"
"org.apache.commons.collections4.map","StaticBucketMap","0.33088235294117646"
"org.apache.commons.collections4.map","TransformedMap","0.21818181818181817"
"org.apache.commons.collections4.map","TransformedSortedMap","0.0"
"org.apache.commons.collections4.map","UnmodifiableEntrySet","0.0"
"org.apache.commons.collections4.map","UnmodifiableMap","0.0"
"org.apache.commons.collections4.map","UnmodifiableOrderedMap","0.0"
"org.apache.commons.collections4.map","UnmodifiableSortedMap","0.0"
"org.apache.commons.collections4","MapIterator","0.0"
"org.apache.commons.collections4","MapUtils","0.0"
"org.apache.commons.collections4.multimap","AbstractListValuedMap","0.0"
"org.apache.commons.collections4.multimap","AbstractMultiValuedMap","0.026455026455026454"
"org.apache.commons.collections4.multimap","AbstractMultiValuedMapDecorator","0.003952569169960474"
"org.apache.commons.collections4.multimap","AbstractSetValuedMap","0.0"
"org.apache.commons.collections4.multimap","ArrayListValuedHashMap","0.0"
"org.apache.commons.collections4.multimap","HashSetValuedHashMap","0.0"
"org.apache.commons.collections4.multimap","TransformedMultiValuedMap","0.17857142857142858"
"org.apache.commons.collections4.multimap","UnmodifiableMultiValuedMap","0.0"
"org.apache.commons.collections4","MultiMap","0.0"
"org.apache.commons.collections4","MultiMapUtils","0.01818181818181818"
"org.apache.commons.collections4.multiset","AbstractMapMultiSet","0.6432748538011696"
"org.apache.commons.collections4.multiset","AbstractMultiSet","0.0"
"org.apache.commons.collections4.multiset","AbstractMultiSetDecorator","0.0"
"org.apache.commons.collections4.multiset","HashMultiSet","0.0"
"org.apache.commons.collections4.multiset","PredicatedMultiSet","0.0"
"org.apache.commons.collections4.multiset","SynchronizedMultiSet","0.0"
"org.apache.commons.collections4.multiset","UnmodifiableMultiSet","0.0"
"org.apache.commons.collections4","MultiSet","0.0"
"org.apache.commons.collections4","MultiSetUtils","0.0"
"org.apache.commons.collections4","MultiValuedMap","0.0"
"org.apache.commons.collections4","OrderedBidiMap","0.0"
"org.apache.commons.collections4","OrderedIterator","0.0"
"org.apache.commons.collections4","OrderedMap","0.0"
